comment,newsLocationPerson,mediaNum,newsNum,joinLocalNum,agree,hot
245,19,3,3,26,1549,245
694,56,12,31,29,6897,694
108,13,2,2,20,1819,108
7,0,0,0,5,2,7
12,0,0,0,3,2,12
6,1,0,0,4,1,6
7,0,1,1,2,8,7
14,0,0,0,3,2,14
4,0,0,0,3,0,4
16,0,0,0,3,0,16
3,0,0,0,1,0,3
1,0,0,0,1,0,1
1,0,0,0,1,0,1
74,6,2,3,21,2665,74
4,0,0,0,3,0,4
5,0,0,0,3,2,5
3,0,0,0,2,1,3
5,0,0,0,3,1,5
2,0,1,1,2,0,2
6,2,0,0,4,0,6
174,6,0,0,21,2950,174
1,0,0,0,1,0,1
33,3,1,1,16,55,33
1,0,0,0,1,0,1
127,6,5,8,24,1115,127
2,0,0,0,2,0,2
18,0,1,1,6,1,18
1,1,1,1,1,6,1
10,0,0,0,5,31,10
20,0,2,2,11,301,20
2,0,0,0,2,0,2
3,0,1,1,2,2,3
45,0,1,2,16,298,45
5,1,0,0,5,4,5
23,3,0,0,11,6,23
52,2,1,1,18,120,52
5,0,0,0,4,1,5
78,10,2,2,24,40,78
834,78,4,4,30,484,834
2505,237,41,63,30,53939,2505
2,0,0,0,2,0,2
1,0,0,0,1,0,1
6,0,0,0,2,0,6
3,0,0,0,3,1,3
4,3,0,0,2,0,4
3,0,0,0,1,0,3
3,0,0,0,3,0,3
2,0,0,0,2,0,2
2,1,0,0,2,1,2
2,0,0,0,2,1,2
6,2,0,0,5,0,6
8,1,1,1,5,5,8
50,6,1,2,18,65,50
271,23,2,2,26,205,271
2,0,0,0,1,0,2
402,34,5,6,28,3819,402
117,24,3,3,19,1020,117
449,45,3,3,29,1583,449
1567,134,3,4,30,9021,1567
1,0,0,0,1,0,1
2,0,0,0,2,0,2
454,36,10,10,28,3130,454
849,85,17,38,29,8795,849
23,14,3,3,9,0,23
36,3,3,3,15,69,36
403,37,6,8,28,1621,403
311,24,3,3,28,2462,311
28,2,1,1,13,183,28
5,0,1,1,4,12,5
16,2,0,0,9,221,16
32,3,1,1,14,73,32
865,93,3,3,31,2658,865
63,10,0,0,16,18,63
11,0,0,0,5,1,11
14,0,0,0,8,25,14
4,1,0,0,3,1,4
11,0,0,0,5,25,11
11,1,1,2,7,29,11
76,20,1,1,20,59,76
687,78,5,7,28,3327,687
4,4,0,0,1,0,4
3,2,0,0,2,0,3
4,0,0,0,4,1,4
4,0,1,1,4,1,4
7,1,1,1,5,2,7
4,0,1,1,4,2,4
72,6,1,1,17,62,72
9,2,0,0,4,2,9
476,53,8,9,27,3450,476
11,0,0,0,4,8,11
7,0,0,0,4,0,7
9,3,0,0,6,3,9
217,23,4,5,21,1753,217
2030,235,3,3,30,13418,2030
10,1,1,1,7,2,10
121,16,10,11,19,1061,121
1308,99,9,12,29,19177,1308
1028,99,3,3,30,10101,1028
1539,137,25,53,28,21796,1539
363,48,2,2,28,1012,363
52,4,0,0,20,79,52
2555,201,5,6,30,10160,2555
1,0,0,0,1,0,1
1,0,0,0,0,0,1
658,65,3,3,28,35376,658
10,0,0,0,6,2,10
12,1,0,0,9,51,12
62,8,0,0,18,460,62
34,5,1,2,12,406,34
4,2,0,0,3,5,4
8,4,0,0,2,2,8
4,1,0,0,4,17,4
51,3,0,0,15,23,51
412,42,0,0,28,2663,412
745,65,2,2,30,403,745
1301,105,3,3,29,11423,1301
1,0,0,0,1,0,1
1,0,1,1,1,12,1
1,1,0,0,1,2,1
44,5,1,1,19,50,44
6,2,1,1,4,0,6
4,1,0,0,4,8,4
35,8,0,0,14,46,35
310,49,1,1,25,2108,310
155,61,2,2,22,1960,155
2,0,0,0,2,0,2
1,0,0,0,1,0,1
2,1,0,0,2,4,2
129,11,1,1,23,1035,129
1,0,0,0,1,0,1
32,2,1,1,13,3362,32
6,0,1,1,3,16,6
29,3,0,0,15,12,29
25,2,2,2,14,96,25
27,1,1,1,17,17,27
1,0,0,0,1,0,1
1,0,0,0,1,0,1
1,0,0,0,1,0,1
1,0,0,0,1,1,1
1,0,0,0,1,1,1
1,1,0,0,1,2,1
1,0,0,0,0,0,1
1,0,0,0,1,0,1
1,0,0,0,0,0,1
1,0,0,0,1,0,1
1,0,0,0,1,0,1
2,0,0,0,1,7,2
1,0,0,0,1,4,1
1,0,0,0,1,0,1
1,0,0,0,1,0,1
1,0,0,0,1,2,1
2,1,0,0,2,2,2
1,0,0,0,1,1,1
1,0,0,0,1,0,1
3,0,0,0,2,1,3
1,0,0,0,1,0,1
1,0,0,0,1,0,1
1,0,0,0,1,1,1
5,0,1,1,4,4,5
4,0,0,0,3,1,4
6,0,0,0,3,2,6
1,0,0,0,0,0,1
13,1,0,0,5,5,13
27,4,0,0,11,60,27
3,0,0,0,3,6,3
5,1,0,0,3,19,5
4528,353,1,1,31,215,4528
12021,1047,0,0,31,2008,12021
18,1,1,1,11,2515,18
2,0,1,1,2,0,2
3,0,0,0,2,7,3
202,36,0,0,24,1293,202
23,1,2,2,12,73,23
7,0,0,0,5,58,7
21,0,5,5,9,251,21
9,2,1,1,7,7,9
98,10,2,2,17,332,98
43,3,1,1,13,104,43
406,48,1,1,27,2047,406
93,18,4,5,19,3783,93
54,4,2,3,20,62,54
1,0,0,0,1,0,1
86,5,2,2,21,107,86
6,0,0,0,4,24,6
46,8,2,3,18,45,46
2,0,0,0,2,2,2
71,6,3,3,22,352,71
1,0,0,0,1,5,1
2,0,0,0,1,1,2
10,1,0,0,6,42,10
82,12,1,1,21,274,82
1,0,0,0,1,0,1
6,2,0,0,3,23,6
52,5,1,1,14,848,52
36,5,1,2,13,141,36
63,5,0,0,17,337,63
280,41,1,1,25,2266,280
230,55,1,1,23,1408,230
573,97,7,8,27,3837,573
1,1,0,0,1,2,1
686,101,3,4,29,6383,686
1116,129,2,3,30,9414,1116
1,0,0,0,1,0,1
1,0,0,0,1,0,1
1,0,0,0,1,0,1
1,0,0,0,1,1,1
1,0,0,0,1,1,1
1,0,0,0,1,1,1
1,0,0,0,1,0,1
1,0,0,0,1,0,1
1,0,0,0,1,0,1
714,79,4,4,28,5949,714
